OBJECTID_1,OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,GLOBALID,Shape_Leng,aggregatio,HasData,ORIGINAL_O,sourceCoun,apportionm,population,populati_1,gender_MED,gender_MAL,gender_M_1,gender_M_2,gender_M_3,gender_M_4,gender_M_5,gender_M_6,gender_M_7,gender_M_8,gender_M_9,gender__10,gender__11,gender__12,gender__13,gender__14,gender__15,gender__16,gender__17,gender__18,gender__19,gender__20,gender__21,gender__22,gender__23,gender__24,gender__25,gender__26,gender__27,gender_FEM,gender_F_1,gender_F_2,gender_F_3,gender_F_4,gender_F_5,gender_F_6,gender_F_7,gender_F_8,gender_F_9,gender__28,gender__29,gender__30,gender__31,gender__32,gender__33,gender__34,gender__35,gender__36,gender__37,gender__38,gender__39,gender__40,gender__41,gender__42,gender__43,gender__44,gender__45,householdt,OwnerRente,OwnerRen_1,OwnerRen_2,OwnerRen_3,housinguni,vacant_VAC,vacant_V_1,raceandhis,raceandh_1,raceandh_2,raceandh_3,raceandh_4,raceandh_5,raceandh_6,raceandh_7,raceandh_8,raceandh_9,raceand_10,raceand_11,hispanicor,hispanic_1,educationa,educatio_1,educatio_2,educatio_3,educatio_4,educatio_5,educatio_6,househol_1,households,householdi,homevalue_,F5yearincre,unitsinstr,unitsins_1,unitsins_2,unitsins_3,unitsins_4,unitsins_5,unitsins_6,unitsins_7,unitsins_8,unitsins_9,unitsin_10,unitsin_11,unitsin_12,unitsin_13,unitsin_14,unitsin_15,commute_AC,commute__1,commute__2,commute__3,commute__4,commute__5,commute__6,Shape__Area,Shape__Length
77,, ,Peachtree Battle Alliance,Neighborhood, ,0,,, ,458.65,0.72,Haynes Manor,C, ,,GIS,2022/05/24 00:00:00+00,{D010D540-F1B2-479B-B081-1D979288F318},23777.9685117452,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,64,US,2.576,2.191,1333,44.6,632,47.41,34,5.38,42,6.65,45,7.12,32,5.06,33,5.22,30,4.75,30,4.75,26,4.11,43,6.8,46,7.28,45,7.12,54,8.54,41,6.49,701,52.59,23,3.28,34,4.85,37,5.28,56,7.99,53,7.56,43,6.13,34,4.85,37,5.28,42,5.99,41,5.85,48,6.85,51,7.28,47,6.7,521,401,76.97,120,23.03,554,33,5.96,1174,88.07,64,4.8,23,1.73,0,0,0,0,10,0.75,40,3,0,1.59,0,2.75,0.32,46.08,48.94,2.56,0.45,200001,1507246,44.6,111,22.52,6,1.22,1,0.2,0,0,0,0,0,0,21,4.26,355,72.01,40.22,3.23,0,0,0,56.55,0,19978511.3039551,23777.9685117452
78,, ,Memorial Park,Neighborhood, ,0,,, ,92.79,0.14,Memorial Park,C, ,,GIS,2022/05/24 00:00:00+00,{C9E1CD17-C6AF-40EF-AA2F-454645437704},10296.3257501733,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,65,US,2.576,2.191,525,35.9,266,50.67,26,9.77,30,11.28,26,9.77,21,7.89,10,3.76,5,1.88,10,3.76,30,11.28,24,9.02,21,7.89,19,7.14,14,5.26,11,4.14,259,49.33,24,9.27,27,10.42,23,8.88,22,8.49,12,4.63,5,1.93,11,4.25,26,10.04,25,9.65,20,7.72,18,6.95,13,5.02,10,3.86,161,153,95.03,8,4.97,166,5,3.01,467,88.95,11,2.1,13,2.48,1,0.19,0,0,4,0.76,20,3.81,0,1.64,0,1.32,1.64,49.34,46.05,3.26,0,200001,898026,35.9,3,1.92,0,0,0,0,0,0,0,0,0,0,12,7.69,141,90.38,34.32,0,0,0,0,63.98,1.69,4042006.81835938,10296.3257501733
79,, ,Wildwood (NPU-C),Neighborhood, ,0,,, ,235.77,0.37,Wildwood,C, ,,GIS,2022/05/24 00:00:00+00,{4B59DF74-E07E-414F-9C37-8F9EDEB55357},20257.8955129012,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,66,US,2.576,2.191,2759,30.5,1325,48.02,70,5.28,78,5.89,70,5.28,55,4.15,52,3.92,291,21.96,218,16.45,143,10.79,102,7.7,67,5.06,60,4.53,39,2.94,29,2.19,1434,51.98,74,5.16,76,5.3,64,4.46,59,4.11,74,5.16,372,25.94,242,16.88,126,8.79,92,6.42,63,4.39,54,3.77,39,2.72,31,2.16,1428,374,26.19,1054,73.81,1502,74,4.93,1901,68.9,455,16.49,172,6.23,2,0.07,3,0.11,51,1.85,181,6.56,0,0.62,0,3.88,0.57,52.61,41.83,1.93,4.65,98433,899194,30.5,786,54.55,225,15.61,58,4.02,0,0,0,0,0,0,29,2.01,334,23.18,22.56,0,0,0,0,75.37,2.07,10270034.1755371,20257.8955129012
80,, ,Collier Hills North,Neighborhood, ,0,,, ,70.82,0.11,Collier Hills North,C, ,,GIS,2022/05/24 00:00:00+00,{CE2AFF29-1B1B-418A-A38A-2114FBB7255F},8092.4606618912,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,67,US,2.576,2.191,215,34.5,108,50.23,5,4.63,4,3.7,2,1.85,2,1.85,6,5.56,20,18.52,19,17.59,12,11.11,8,7.41,6,5.56,5,4.63,4,3.7,5,4.63,107,49.77,6,5.61,4,3.74,2,1.87,2,1.87,6,5.61,15,14.02,19,17.76,11,10.28,8,7.48,5,4.67,4,3.74,5,4.67,6,5.61,103,54,52.43,49,47.57,109,6,5.5,144,66.98,31,14.42,15,6.98,0,0,0,0,7,3.26,17,7.91,0,11.36,0,10.8,6.25,42.05,29.55,2.09,18.18,86538,515625,34.5,34,39.08,9,10.34,12,13.79,12,13.79,1,1.15,0,0,6,6.9,14,16.09,20.42,0.7,1.41,0,0.7,71.13,4.23,3085089.96118164,8092.46066189119
81,, ,Beecher Hills,Neighborhood, ,0,,, ,284.6,0.44,Beecher Hills,I, ,,GIS,2022/05/24 00:00:00+00,{BC9BDF0D-5112-4426-ADE8-1CA16ED00B79},14432.4679927293,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,68,US,2.576,2.191,461,46.4,224,48.59,8,3.57,10,4.46,14,6.25,9,4.02,16,7.14,10,4.46,13,5.8,15,6.7,11,4.91,15,6.7,17,7.59,21,9.38,19,8.48,237,51.41,13,5.49,14,5.91,11,4.64,11,4.64,8,3.38,11,4.64,10,4.22,15,6.33,21,8.86,13,5.49,16,6.75,13,5.49,15,6.33,222,162,72.97,60,27.03,245,23,9.39,15,3.25,429,93.06,1,0.22,1,0.22,0,0,3,0.65,8,1.74,6.07,25.72,4.34,20.52,0,29.77,13.58,2.08,3.98,44768,175000,46.4,0,0,9,4,31,13.78,20,8.89,0,0,0,0,0,0,166,73.78,14.08,0,0,0,8.74,76.7,0,12397197.1271973,14432.4679927293
82,, ,Westwood Terrace,Neighborhood, ,0,,, ,141.13,0.22,Westwood Terrace,I, ,,GIS,2022/05/24 00:00:00+00,{3E6368C9-2ADA-4B8F-A050-5CA8993A4FAE},10320.7700521632,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,69,US,2.576,2.191,744,41,347,46.64,25,7.2,27,7.78,19,5.48,20,5.76,19,5.48,13,3.75,28,8.07,29,8.36,25,7.2,18,5.19,25,7.2,24,6.92,21,6.05,397,53.36,18,4.53,21,5.29,21,5.29,16,4.03,13,3.27,17,4.28,37,9.32,38,9.57,29,7.3,24,6.05,13,3.27,17,4.28,30,7.56,303,225,74.26,78,25.74,345,42,12.17,60,8.06,642,86.29,6,0.81,0,0,0,0,6,0.81,38,5.11,3.67,51.01,1.28,17.25,3.12,17.98,5.32,2.46,18.01,51767,320918,41,0,0,0,0,0,0,0,0,0,0,14,4.12,5,1.47,321,94.41,18.7,0,1.63,0,16.67,48.37,14.63,6147411.67871094,10320.7700521632
83,, ,Harris Chiles,Neighborhood, ,0,,, ,88.81,0.14,Harris Chiles,T, ,,GIS,2022/05/24 00:00:00+00,{BAD4D86C-3A10-44F5-8AB1-A40B0D9C5F96},9290.74395693858,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,70,US,2.576,2.191,1229,40.4,541,44.02,21,3.88,26,4.81,30,5.55,24,4.44,36,6.65,64,11.83,48,8.87,42,7.76,23,4.25,21,3.88,20,3.7,13,2.4,20,3.7,688,55.98,29,4.22,33,4.8,22,3.2,34,4.94,43,6.25,78,11.34,53,7.7,27,3.92,31,4.51,27,3.92,25,3.63,26,3.78,44,6.4,730,33,4.52,697,95.48,774,44,5.68,42,3.42,1136,92.43,3,0.24,1,0.08,0,0,9,0.73,19,1.55,22.45,30.29,3.01,15.25,7.73,9.67,9.24,1.67,44.12,17817,252941,40.4,443,49.11,89,9.87,186,20.62,39,4.32,0,0,37,4.1,7,0.78,104,11.53,26.06,0,0,0,33.33,24.41,15.96,3868534.70947266,9290.74395693858
84,, ,The Villages at Castleberry Hill,Neighborhood, ,0,,, ,57.14,0.09,John Hope Homes,T, ,,GIS,2022/05/24 00:00:00+00,{6E8447E2-DC28-46CE-B8C8-C471B3F8776A},8962.47826467415,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,71,US,2.576,2.191,1242,36.4,585,47.1,27,4.62,23,3.93,25,4.27,49,8.38,57,9.74,52,8.89,45,7.69,44,7.52,35,5.98,26,4.44,36,6.15,36,6.15,37,6.32,657,52.9,17,2.59,15,2.28,25,3.81,73,11.11,84,12.79,56,8.52,48,7.31,46,7,30,4.57,28,4.26,23,3.5,18,2.74,33,5.02,625,78,12.48,547,87.52,641,16,2.5,72,5.8,1099,88.49,4,0.32,0,0,0,0,8,0.64,26,2.09,3.18,17.92,11.32,32.55,1.77,18.04,5.42,1.7,19.28,36866,510135,36.4,164,24.12,97,14.26,280,41.18,47,6.91,26,3.82,5,0.74,9,1.32,52,7.65,23.96,4.43,12.76,0,6.77,40.36,11.46,2488951.05444336,8962.47826467415
85,, ,Mozley Park,Neighborhood, ,0,,, ,276.76,0.43,Mozley Park,K, ,,GIS,2022/05/24 00:00:00+00,{EC7A089B-9291-4203-8AE8-03CCB7CB2288},15203.6319909862,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,72,US,2.576,2.191,1967,39.5,1008,51.25,68,6.75,71,7.04,54,5.36,55,5.46,58,5.75,46,4.56,86,8.53,96,9.52,76,7.54,52,5.16,55,5.46,58,5.75,77,7.64,959,48.75,52,5.42,54,5.63,50,5.21,46,4.8,38,3.96,51,5.32,94,9.8,78,8.13,80,8.34,53,5.53,49,5.11,49,5.11,57,5.94,769,446,58,323,42,950,181,19.05,170,8.64,1688,85.82,10,0.51,4,0.2,0,0,32,1.63,59,3,8.03,24.74,1.9,21.63,4.16,15.72,22.69,2.56,19.6,63810,330952,39.5,28,3.11,65,7.21,2,0.22,0,0,6,0.67,84,9.32,9,1,707,78.47,4.1,1.02,2.82,0,11.36,64.05,16.65,12055696.0805664,15203.6319909862
86,, ,Washington Park,Neighborhood, ,0,,, ,164.04,0.26,Washington Park,K, ,,GIS,2022/05/24 00:00:00+00,{986A0A4A-F2FB-4A2D-9624-3DE233C589B4},11648.0554740439,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,73,US,2.576,2.191,1542,34.5,778,50.45,50,6.43,54,6.94,65,8.35,54,6.94,48,6.17,57,7.33,71,9.13,58,7.46,51,6.56,51,6.56,43,5.53,41,5.27,49,6.3,764,49.55,36,4.71,41,5.37,62,8.12,48,6.28,52,6.81,64,8.38,84,10.99,73,9.55,45,5.89,50,6.54,34,4.45,30,3.93,40,5.24,631,243,38.51,388,61.49,739,108,14.61,100,6.49,1314,85.21,13,0.84,1,0.06,4,0.26,37,2.4,65,4.22,10.17,38.37,10.08,7.56,4.55,20.83,6.69,2.44,41.84,51402,369196,34.5,99,12.98,13,1.7,16,2.1,29,3.8,97,12.71,0,0,7,0.92,488,63.96,22.41,0,12.62,0,8.51,56.45,0,7145351.78857422,11648.0554740439
87,, ,Knight Park/Howell Station,Neighborhood, ,0,,, ,349.1,0.55,Knight Park,K, ,,GIS,2022/05/24 00:00:00+00,{4BDB8A36-2292-4C3B-A0C1-588341184279},15754.7985265757,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,74,US,2.576,2.191,3669,33.3,2887,78.69,63,2.18,43,1.49,32,1.11,183,6.34,368,12.75,489,16.94,422,14.62,349,12.09,254,8.8,196,6.79,177,6.13,174,6.03,80,2.77,782,21.31,37,4.73,33,4.22,25,3.2,35,4.48,61,7.8,116,14.83,107,13.68,104,13.3,69,8.82,46,5.88,39,4.99,36,4.6,30,3.84,479,246,51.36,233,48.64,520,41,7.88,887,24.18,2570,70.05,71,1.94,5,0.14,0,0,37,1.01,146,3.98,12.8,17.82,17.96,18.64,4.37,12.26,11.69,2.39,3.67,130744,484868,33.3,58,15.06,0,0,0,0,0,0,19,4.94,16,4.16,28,7.27,264,68.57,21.28,1.83,0.69,4.58,6.18,59.95,4.58,15206825.041748,15754.7985265757
88,, ,Vine City,Neighborhood, ,0,,, ,327.2,0.51,Vine City,L, ,,GIS,2022/05/24 00:00:00+00,{152D8EFD-F10A-4B8F-A5A2-5C598194D64A},15292.3433577228,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,75,US,2.576,2.191,3610,33.9,1813,50.22,104,5.74,102,5.63,105,5.79,108,5.96,166,9.16,177,9.76,186,10.26,182,10.04,118,6.51,105,5.79,120,6.62,104,5.74,107,5.9,1797,49.78,100,5.56,101,5.62,121,6.73,98,5.45,162,9.02,185,10.29,171,9.52,155,8.63,98,5.45,105,5.84,90,5.01,114,6.34,104,5.79,1593,304,19.08,1289,80.92,1845,252,13.66,131,3.63,3200,88.64,41,1.14,2,0.06,6,0.17,45,1.25,164,4.54,13.79,29.59,5.49,20.26,3.4,18.42,6.55,2.25,40.7,37095,248246,33.9,283,14.95,145,7.66,479,25.3,345,18.23,103,5.44,67,3.54,46,2.43,425,22.45,5.01,6.49,3.83,0.49,27.81,49.07,7.29,14252647.6750488,15292.3433577228
89,, ,Pittsburgh,Neighborhood, ,0,,, ,512.04,0.8,Pittsburgh,V, ,,GIS,2022/05/24 00:00:00+00,{63C400B4-DB52-468D-94AB-7296E3DC0210},24371.503646783,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,76,US,2.576,2.191,3161,34.6,1554,49.16,120,7.72,111,7.14,99,6.37,93,5.98,105,6.76,135,8.69,144,9.27,138,8.88,107,6.89,81,5.21,77,4.95,77,4.95,98,6.31,1607,50.84,111,6.91,100,6.22,73,4.54,74,4.6,114,7.09,153,9.52,173,10.77,133,8.28,111,6.91,73,4.54,78,4.85,69,4.29,88,5.48,1525,458,30.03,1067,69.97,1781,256,14.37,187,5.92,2789,88.23,13,0.41,12,0.38,0,0,38,1.2,95,3.01,6.06,29.25,4.81,18,10.09,16.52,9.81,2.07,28.43,42692,219200,34.6,335,18.87,113,6.37,26,1.46,42,2.37,19,1.07,77,4.34,6,0.34,1157,65.18,6.85,16.31,0,0,20.81,55.57,0,22304542.4482422,24371.503646783
90,, ,Peoplestown,Neighborhood, ,0,,, ,339.63,0.53,Peoplestown,V, ,,GIS,2022/05/24 00:00:00+00,{F040011D-A893-43E7-8EB5-BF60ABDE6F21},16258.5733876078,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,77,US,2.576,2.191,3660,31.7,1732,47.32,107,6.18,159,9.18,133,7.68,97,5.6,105,6.06,199,11.49,208,12.01,181,10.45,112,6.47,96,5.54,83,4.79,54,3.12,67,3.87,1928,52.68,135,7,126,6.54,135,7,116,6.02,151,7.83,223,11.57,217,11.26,187,9.7,123,6.38,105,5.45,88,4.56,58,3.01,59,3.06,1448,375,25.9,1073,74.1,1591,143,8.99,759,20.74,2626,71.75,55,1.5,15,0.41,0,0,31,0.85,158,4.32,6.3,28.95,0.75,11.35,5.55,26.32,17.69,2.51,52.67,31931,478571,31.7,56,3.37,48,2.89,560,33.73,141,8.49,106,6.39,28,1.69,54,3.25,668,40.24,21.35,2.17,1.38,1.18,12.35,56.57,4.99,14794078.0227051,16258.5733876078
91,, ,Summerhill,Neighborhood, ,0,,, ,344.65,0.54,Summerhill,V, ,,GIS,2022/05/24 00:00:00+00,{2A9A4CBC-8100-4239-9FE1-14BD5C8DAEF4},16135.2823697365,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,78,US,2.576,2.191,3134,35.2,1593,50.83,88,5.52,85,5.34,84,5.27,67,4.21,107,6.72,183,11.49,175,10.99,153,9.6,114,7.16,101,6.34,104,6.53,101,6.34,81,5.08,1541,49.17,93,6.04,84,5.45,60,3.89,83,5.39,145,9.41,149,9.67,150,9.73,131,8.5,111,7.2,100,6.49,88,5.71,67,4.35,70,4.54,1452,604,41.6,848,58.4,1700,248,14.59,781,24.92,1940,61.9,98,3.13,10,0.32,0,0,48,1.53,147,4.69,21.94,17.52,2.73,7.37,6.17,25.69,18.36,2.11,46.52,47890,535846,35.2,172,13.77,42,3.36,96,7.69,82,6.57,10,0.8,65,5.2,155,12.41,627,50.2,23.71,0.35,0.7,0.97,9.31,59,6.06,15012702.6582031,16135.2823697365
92,, ,Castleberry Hill,Neighborhood, ,0,,, ,180.78,0.28,Castleberry Hill,M, ,,GIS,2022/05/24 00:00:00+00,{09F68C81-C92D-4009-B321-0A3C9491CE0F},12392.5952130082,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,79,US,2.576,2.191,1937,34.1,1257,64.89,30,2.39,20,1.59,16,1.27,33,2.63,121,9.63,226,17.98,203,16.15,123,9.79,126,10.02,119,9.47,76,6.05,66,5.25,66,5.25,680,35.11,29,4.26,31,4.56,12,1.76,21,3.09,64,9.41,120,17.65,92,13.53,79,11.62,48,7.06,49,7.21,36,5.29,33,4.85,28,4.12,1306,483,36.98,823,63.02,1531,225,14.7,386,19.93,1387,71.61,30,1.55,0,0,0,0,52,2.68,176,9.09,3.72,11.67,6.15,13.97,6.6,30.96,23.65,1.05,12.76,80321,389286,34.1,727,44.63,274,16.82,438,26.89,45,2.76,6,0.37,0,0,44,2.7,97,5.95,21.4,4.62,12.41,0,8.22,48.72,4.62,7874681.05664062,12392.5952130082
93,, ,Sweet Auburn,Neighborhood, ,0,,, ,201.7,0.32,Butler Street,M, ,,GIS,2022/05/24 00:00:00+00,{B3788601-5649-4364-9C30-D941B551E5E9},14029.3065704786,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,80,US,2.576,2.191,3371,28.5,1563,46.37,60,3.84,57,3.65,40,2.56,184,11.77,256,16.38,192,12.28,142,9.09,100,6.4,98,6.27,77,4.93,68,4.35,53,3.39,59,3.77,1808,53.63,67,3.71,43,2.38,37,2.05,249,13.77,396,21.9,229,12.67,179,9.9,93,5.14,63,3.48,62,3.43,49,2.71,54,2.99,56,3.1,2187,187,8.55,2000,91.45,2330,143,6.14,705,20.91,2225,66,181,5.37,5,0.15,1,0.03,59,1.75,135,4,11.65,27.79,1.51,18.41,4.94,24.46,9.18,1.21,39.52,33557,350000,28.5,1349,64.45,269,12.85,177,8.46,147,7.02,26,1.24,14,0.67,52,2.48,37,1.77,12.75,9.32,12.93,0.53,3.34,54.71,6.33,8786177.59155273,14029.3065704786
94,, ,Marietta Street Artery,Neighborhood, ,0,,, ,236.35,0.37,Bellwood,E, ,,GIS,2022/05/24 00:00:00+00,{D48D4DC9-8C40-43C9-BA71-2EDFF0165005},19707.1099597606,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,81,US,2.576,2.191,5129,28.6,2839,55.35,57,2.01,28,0.99,18,0.63,46,1.62,579,20.39,908,31.98,520,18.32,254,8.95,117,4.12,82,2.89,68,2.4,69,2.43,47,1.66,2290,44.65,41,1.79,43,1.88,22,0.96,82,3.58,475,20.74,744,32.49,376,16.42,158,6.9,112,4.89,56,2.45,60,2.62,38,1.66,27,1.18,3377,107,3.17,3270,96.83,3831,454,11.85,2110,41.14,1364,26.59,1208,23.55,8,0.16,7,0.14,82,1.6,330,6.43,0.59,1.31,0,13.03,9.84,43.85,31.38,1.44,22.42,75171,415625,28.6,1917,88.75,76,3.52,18,0.83,14,0.65,31,1.44,6,0.28,30,1.39,68,3.15,41.28,0.7,10.61,2.8,1.27,42.06,0.82,10295543.2897949,19707.1099597606
95,, ,Sherwood Forest,Neighborhood, ,0,,, ,133.45,0.21,Sherwood Forest,E, ,,GIS,2022/05/24 00:00:00+00,{88552B0B-1C5E-498D-8948-3324B2FF398C},10307.2165458907,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,82,US,2.576,2.191,453,46.3,235,51.88,9,3.83,15,6.38,20,8.51,18,7.66,9,3.83,6,2.55,7,2.98,9,3.83,14,5.96,19,8.09,24,10.21,23,9.79,20,8.51,218,48.12,8,3.67,13,5.96,17,7.8,16,7.34,14,6.42,4,1.83,9,4.13,11,5.05,17,7.8,20,9.17,18,8.26,19,8.72,12,5.5,160,145,90.62,15,9.38,179,19,10.61,379,83.66,19,4.19,14,3.09,0,0,0,0,7,1.55,26,5.74,0.32,1.59,3.82,8.92,0,35.35,50,2.83,0,195256,1228448,46.3,0,0,0,0,29,16.76,8,4.62,0,0,0,0,0,0,136,78.61,42.23,0,3.88,0,5.83,48.06,0,5813186.15649414,10307.2165458907
96,, ,Loring Heights,Neighborhood, ,0,,, ,276.41,0.43,Loring Heights,E, ,,GIS,2022/05/24 00:00:00+00,{A615CAA3-C62E-4ABC-A81D-F4DBA50D986D},14778.9273786286,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,83,US,2.576,2.191,2641,31.2,1408,53.31,55,3.91,35,2.49,26,1.85,31,2.2,89,6.32,351,24.93,324,23.01,175,12.43,88,6.25,52,3.69,52,3.69,54,3.84,41,2.91,1233,46.69,42,3.41,29,2.35,27,2.19,30,2.43,90,7.3,376,30.49,241,19.55,125,10.14,70,5.68,49,3.97,58,4.7,34,2.76,24,1.95,1620,317,19.57,1303,80.43,1736,116,6.68,1222,46.27,845,32,235,8.9,11,0.42,2,0.08,88,3.33,239,9.05,0,0,1.01,0,10.84,39.55,48.61,1.63,5.69,104600,1035061,31.2,467,33.24,298,21.21,177,12.6,120,8.54,0,0,0,0,0,0,343,24.41,19.24,0,0,0,0,66.62,4.52,12040196.4233398,14778.9273786286
97,, ,Brookwood Hills,Neighborhood, ,0,,, ,199.44,0.31,Brookwood Hills,E, ,,GIS,2022/05/24 00:00:00+00,{086E471D-77AA-4A79-90C6-5EC7821C246E},15241.6166518936,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,84,US,2.576,2.191,1953,44.8,946,48.44,42,4.44,61,6.45,76,8.03,69,7.29,48,5.07,30,3.17,45,4.76,26,2.75,71,7.51,73,7.72,80,8.46,79,8.35,76,8.03,1007,51.56,44,4.37,57,5.66,81,8.04,70,6.95,50,4.97,36,3.57,47,4.67,49,4.87,82,8.14,75,7.45,78,7.75,80,7.94,67,6.65,757,455,60.11,302,39.89,805,48,5.96,1710,87.56,65,3.33,45,2.3,1,0.05,0,0,17,0.87,36,1.84,0.52,0,0,2.14,1.25,44.06,52.03,2.58,0,200001,1211039,44.8,74,15.23,17,3.5,0,0,5,1.03,14,2.88,5,1.03,61,12.55,310,63.79,31.76,4.56,0,0,1.47,60.91,1.3,8687531.07202148,15241.6166518936
98,, ,Old Gordon,Neighborhood, ,0,,, ,78.62,0.12, ,H, ,,GIS,2022/05/24 00:00:00+00,{6944378E-9549-4878-9D41-027A49A2F41B},9249.1816933086,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,85,US,2.576,2.191,748,38.2,382,51.07,30,7.85,31,8.12,19,4.97,21,5.5,17,4.45,22,5.76,24,6.28,23,6.02,33,8.64,27,7.07,34,8.9,42,10.99,33,8.64,366,48.93,27,7.38,24,6.56,22,6.01,13,3.55,26,7.1,28,7.65,38,10.38,26,7.1,43,11.75,22,6.01,20,5.46,27,7.38,18,4.92,316,45,14.24,271,85.76,468,152,32.48,19,2.54,600,80.21,2,0.27,7,0.94,0,0,73,9.76,103,13.77,4.82,71.68,2.89,8.29,6.17,2.5,3.66,2.29,8.3,79911,185000,38.2,45,10.54,0,0,0,0,61,14.29,205,48.01,0,0,3,0.7,113,26.46,4.53,79.61,0,0,2.91,11.65,0.97,3424733.25854492,9249.1816933086
99,, ,Mays,Neighborhood, ,0,,, ,252.84,0.4, ,H, ,,GIS,2022/05/24 00:00:00+00,{E0100CB2-7465-419A-B53F-FFB6ECA6C164},17787.0566380202,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,86,US,2.576,2.191,1654,36,673,40.69,59,8.77,65,9.66,24,3.57,58,8.62,54,8.02,35,5.2,70,10.4,66,9.81,40,5.94,42,6.24,40,5.94,26,3.86,34,5.05,981,59.31,52,5.3,32,3.26,51,5.2,53,5.4,86,8.77,84,8.56,71,7.24,101,10.3,87,8.87,78,7.95,54,5.5,30,3.06,57,5.81,764,524,68.59,240,31.41,823,59,7.17,19,1.15,1603,96.92,6,0.36,1,0.06,0,0,8,0.48,17,1.03,3.21,4.73,2.85,6.51,2.41,25.51,54.77,2.16,3.8,77291,177551,36,23,5.35,0,0,21,4.88,1,0.23,0,0,0,0,194,45.12,191,44.42,25.62,0,0.28,0,2.48,71.35,0,11013627.4089355,17787.0566380202
100,, ,Harvel Homes Community,Neighborhood, ,0,,, ,15.79,0.02,Harvel Homes Community,J, ,,GIS,2022/05/24 00:00:00+00,{42D37759-3A8B-4274-9D24-A92F9D3A74D0},3613.28190645867,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,87,US,2.576,2.191,36,35,17,47.22,1,5.88,1,5.88,2,11.76,1,5.88,1,5.88,1,5.88,1,5.88,1,5.88,1,5.88,1,5.88,1,5.88,1,5.88,1,5.88,19,52.78,1,5.26,1,5.26,1,5.26,2,10.53,1,5.26,1,5.26,1,5.26,2,10.53,2,10.53,1,5.26,1,5.26,1,5.26,1,5.26,16,9,56.25,7,43.75,16,0,0,1,2.78,33,91.67,0,0,0,0,0,0,1,2.78,1,2.78,13.64,31.82,9.09,27.27,0,0,9.09,2.25,20,56884,183333,35,0,0,0,0,2,15.38,1,7.69,0,0,0,0,0,0,10,76.92,20,0,0,0,5,70,0,687957.979980469,3613.28190645867
101,, ,Penelope Neighbors,Neighborhood, ,0,,, ,126.25,0.2,Penelope Neighbors,J, ,,GIS,2022/05/24 00:00:00+00,{867A7487-3E0F-4009-B82A-419CDB53DFD7},12181.1610045739,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,88,US,2.576,2.191,485,43,235,48.45,14,5.96,15,6.38,13,5.53,11,4.68,13,5.53,12,5.11,15,6.38,18,7.66,16,6.81,16,6.81,12,5.11,15,6.38,17,7.23,250,51.55,11,4.4,13,5.2,16,6.4,14,5.6,12,4.8,11,4.4,20,8,16,6.4,17,6.8,13,5.2,12,4.8,14,5.6,15,6,224,125,55.8,99,44.2,267,43,16.1,13,2.68,445,91.75,1,0.21,1,0.21,0,0,9,1.86,11,2.27,14.89,36.8,2.25,13.2,8.15,13.48,9.55,2.01,47.72,34585,181707,43,4,1.43,12,4.29,30,10.71,31,11.07,0,0,7,2.5,0,0,194,69.29,4.84,4.84,0,0,12.9,70.16,7.26,5499619.125,12181.1610045739
